team_member_id,team_id,user_id,role_id
1,1,142,2
2,1,85,4
3,1,297,4
4,1,387,4
5,1,423,4
6,1,428,4
7,1,251,4
8,1,222,4
9,1,88,4
10,1,275,4
11,1,276,4
12,1,421,4
13,2,362,2
14,3,196,2
15,4,280,2
16,5,500,2
17,6,378,2
18,7,306,2
19,8,481,2
20,9,199,2
21,10,38,2
22,11,289,2
23,11,214,4
24,11,232,4
25,11,451,4
26,11,67,4
27,11,192,4
28,11,71,4
29,11,412,4
30,11,270,4
31,11,465,4
32,11,122,4
33,11,359,4
34,11,81,4
35,11,113,4
36,11,319,4
37,11,117,4
38,12,466,2
39,12,349,4
40,13,213,2
41,14,288,2
42,15,352,2
43,16,370,2
44,17,463,2
45,18,249,2
46,19,112,2
47,20,426,2
48,21,398,2
49,21,173,4
50,21,51,4
51,21,396,4
52,21,446,4
53,21,323,4
54,21,204,4
55,21,73,4
56,21,18,4
57,21,427,4
58,21,244,4
59,21,333,4
60,21,428,4
61,21,139,4
62,21,181,4
63,21,253,4
64,22,459,2
65,22,5,4
66,22,99,4
67,22,210,4
68,22,223,4
69,23,460,2
70,24,261,2
71,25,478,2
72,26,98,2
73,27,215,2
74,28,393,2
75,29,79,2
76,30,162,2
77,31,374,2
78,31,451,4
79,31,118,4
80,31,229,4
81,31,448,4
82,31,131,4
83,31,88,4
84,31,373,4
85,31,174,4
86,31,166,4
87,31,486,4
88,31,176,4
89,31,385,4
90,31,91,4
91,31,43,4
92,31,475,4
93,32,1,2
94,32,292,4
95,32,331,4
96,32,8,4
97,32,169,4
98,33,496,2
99,33,440,4
100,34,56,2
101,34,424,4
102,35,80,2
103,36,94,2
104,37,123,2
105,38,290,2
106,39,148,2
107,40,425,2
108,41,286,2
109,41,110,4
110,41,318,4
111,41,58,4
112,41,245,4
113,41,191,4
114,41,31,4
115,41,238,4
116,41,10,4
117,41,207,4
118,41,300,4
119,42,93,2
120,43,388,2
121,44,338,2
122,45,361,2
123,46,454,2
124,47,328,2
125,48,237,2
126,49,499,2
127,50,203,2
128,51,453,2
129,51,149,4
130,51,364,4
131,51,471,4
132,51,195,4
133,51,341,4
134,51,384,4
135,51,170,4
136,51,473,4
137,51,405,4
138,51,235,4
139,51,26,4
140,51,7,4
141,51,8,4
142,51,175,4
143,52,206,2
144,52,39,4
145,52,429,4
146,52,119,4
147,53,293,2
148,53,68,4
149,54,485,2
150,55,84,2
151,56,376,2
152,57,480,2
153,58,55,2
154,59,171,2
155,60,116,2
156,61,147,2
157,61,214,4
158,61,497,4
159,61,193,4
160,61,263,4
161,61,153,4
162,61,191,4
163,61,20,4
164,61,333,4
165,61,351,4
166,61,53,4
167,61,296,4
168,61,410,4
169,61,347,4
170,61,474,4
171,61,183,4
172,62,447,2
173,62,154,4
174,63,97,2
175,64,470,2
176,65,284,2
